10uM,,20uM,,40uM,,80uM,,160uM,,320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
788.0681152,0.009210392833,788.0681152,0.009139510803,788.0681152,0.009053045884,788.0681152,0.008172298782,788.0681152,0.0009941486642,788.0681152,0.006724759005
786.9518433,0.008830076084,786.9518433,0.007934569381,786.9518433,0.009470622055,786.9518433,0.006558612455,786.9518433,0.001827896107,786.9518433,0.007772202138
785.9747314,0.009676238522,785.9747314,0.00915471185,785.9747314,0.008225480095,785.9747314,0.008134053089,785.9747314,0.0007422410417,785.9747314,0.007006757427
784.9972534,0.008740793914,784.9972534,0.008459409699,784.9972534,0.009170389734,784.9972534,0.007621829398,784.9972534,0.002486123936,784.9972534,0.00677786814
784.0194092,0.008825057186,784.0194092,0.008986497298,784.0194092,0.00847817678,784.0194092,0.007458235603,784.0194092,0.0006239892682,784.0194092,0.0074292426
783.0411987,0.008668562397,783.0411987,0.007694439963,783.0411987,0.009897630662,783.0411987,0.007600807119,783.0411987,0.0009192510042,783.0411987,0.007470375858
782.062561,0.009088411927,782.062561,0.00779346982,782.062561,0.008806036785,782.062561,0.00828998629,782.062561,0.0005454231868,782.062561,0.008303336799
780.9437256,0.009009832516,780.9437256,0.006938574836,780.9437256,0.009103452787,780.9437256,0.007875835523,780.9437256,0.0003599122865,780.9437256,0.007362362929
779.9643555,0.009116353467,779.9643555,0.007140838541,779.9643555,0.008790610358,779.9643555,0.008120021783,779.9643555,-0.0008051868645,779.9643555,0.006584551185
778.9845581,0.008720535785,778.9845581,0.007856145501,778.9845581,0.008723916486,778.9845581,0.007459762972,778.9845581,0.0003305601422,778.9845581,0.00588012347
778.0044556,0.008703210391,778.0044556,0.008212737739,778.0044556,0.009600014426,778.0044556,0.007693333551,778.0044556,0.0006771350745,778.0044556,0.008790768683
777.0239868,0.007878630422,777.0239868,0.007377423346,777.0239868,0.007918171585,777.0239868,0.006340150256,777.0239868,0.001117587904,777.0239868,0.005623898469
776.0430908,0.008801757358,776.0430908,0.006925897207,776.0430908,0.008739208803,776.0430908,0.007047403604,776.0430908,0.0001669448102,776.0430908,0.006144507788
775.0618896,0.007927847095,775.0618896,0.007048166357,775.0618896,0.008211946115,775.0618896,0.006104103755,775.0618896,0.0003663891985,775.0618896,0.006289668847
773.9400635,0.008041221648,773.9400635,0.008203425445,773.9400635,0.009367876686,773.9400635,0.006526683457,773.9400635,-0.0005616210983,773.9400635,0.00700154854
772.9580078,0.008663755842,772.9580078,0.006806791294,772.9580078,0.009266371839,772.9580078,0.007068530656,772.9580078,0.0004168864689,772.9580078,0.005715165287
771.975647,0.008524927311,771.975647,0.005911375396,771.975647,0.007630681153,771.975647,0.006377844606,771.975647,0.0009472679812,771.975647,0.005844466388
770.9929199,0.008580448106,770.9929199,0.007317896467,770.9929199,0.008706432767,770.9929199,0.005928405561,770.9929199,0.0007364326739,770.9929199,0.006262565497
770.0098267,0.007951626554,770.0098267,0.006442786194,770.0098267,0.008982030675,770.0098267,0.007035011891,770.0098267,0.000619141676,770.0098267,0.006807711907
769.0263672,0.008049686439,769.0263672,0.00671574194,769.0263672,0.007582525257,769.0263672,0.006296024658,769.0263672,-2.842186404E-05,769.0263672,0.006290771533
768.0425415,0.007390825078,768.0425415,0.00671574194,768.0425415,0.007489127107,768.0425415,0.006291507278,768.0425415,-0.0003842883452,768.0425415,0.005893531721
767.0583496,0.007266063709,767.0583496,0.005950606894,767.0583496,0.007721290458,767.0583496,0.006143772509,767.0583496,0.000513078121,767.0583496,0.005834339187
765.9331055,0.00880215317,765.9331055,0.006727650762,765.9331055,0.006938732695,765.9331055,0.005344866309,765.9331055,-0.000139865253,765.9331055,0.006055302918
764.9481201,0.007416945416,764.9481201,0.007256403565,764.9481201,0.00695030624,764.9481201,0.004765826743,764.9481201,-5.777363913E-05,764.9481201,0.005838694517
763.9628296,0.007344460115,763.9628296,0.0065346458,763.9628296,0.00714760134,763.9628296,0.005189044401,763.9628296,-1.496183177E-05,763.9628296,0.005649519153
762.9771118,0.007558581419,762.9771118,0.005798371043,762.9771118,0.006627944298,762.9771118,0.006109774113,762.9771118,-1.496183177E-05,762.9771118,0.005263188388
761.9910889,0.007113392465,761.9910889,0.00619040383,761.9910889,0.007039247546,761.9910889,0.006005773321,761.9910889,-0.001282927347,761.9910889,0.004824795295
