10uM,,20uM,,40uM,,80uM,,160uM,,320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
679.9542236,0.0141580198,679.9542236,0.01393821556,679.9542236,0.01424564142,679.9542236,0.01362013537,679.9542236,0.01468321029,679.9542236,0.01463745255
678.9398804,0.01374502573,678.9398804,0.01413576957,678.9398804,0.01380145829,678.9398804,0.01320252754,678.9398804,0.01397692226,678.9398804,0.01484917384
678.0702515,0.0145317642,678.0702515,0.01404859871,678.0702515,0.0147753302,678.0702515,0.01379953418,678.0702515,0.01407846436,678.0702515,0.01447504945
677.0553589,0.01520825922,677.0553589,0.01531542651,677.0553589,0.01561612729,677.0553589,0.01548935659,677.0553589,0.01565165631,677.0553589,0.01580513269
676.0401001,0.01648092642,676.0401001,0.01557126455,676.0401001,0.01595200039,676.0401001,0.01466535125,676.0401001,0.01454054378,676.0401001,0.01570221968
675.0245972,0.01450588182,675.0245972,0.01521308441,675.0245972,0.01511071436,675.0245972,0.01448631659,675.0245972,0.01518075448,675.0245972,0.01486339793
674.008728,0.01610727422,674.008728,0.01637107879,674.008728,0.01505137701,674.008728,0.01521801762,674.008728,0.01485849544,674.008728,0.01453813445
672.9925537,0.01565970853,672.9925537,0.01628939621,672.9925537,0.01664077304,672.9925537,0.0158304479,672.9925537,0.01606904902,672.9925537,0.01582878269
671.9760742,0.0154500585,671.9760742,0.0152351493,671.9760742,0.01578835398,671.9760742,0.01555200014,671.9760742,0.0154207414,671.9760742,0.01525220089
670.9592896,0.01508010644,670.9592896,0.01479378343,670.9592896,0.01558865048,670.9592896,0.01537171472,670.9592896,0.01526525803,670.9592896,0.01604790799
669.9421387,0.01535519492,669.9421387,0.01573523134,669.9421387,0.01513666008,669.9421387,0.01570549235,669.9421387,0.0156885311,669.9421387,0.01600246318
669.0700684,0.0149460705,669.0700684,0.01588578336,669.0700684,0.01627789438,669.0700684,0.0161133986,669.0700684,0.01485404931,669.0700684,0.0157324411
668.0523682,0.01571783982,668.0523682,0.01522809826,668.0523682,0.01647632755,668.0523682,0.01493240707,668.0523682,0.01604538411,668.0523682,0.01525362208
667.0343018,0.0144666452,667.0343018,0.01411354728,667.0343018,0.01395265013,667.0343018,0.01412828173,667.0343018,0.01479075663,667.0343018,0.01512835082
666.0159912,0.01482426282,666.0159912,0.01395281032,666.0159912,0.01440332923,666.0159912,0.01356025413,666.0159912,0.01415660232,666.0159912,0.01383339148
664.9973145,0.01383558288,664.9973145,0.01374764368,664.9973145,0.01353976969,664.9973145,0.01356025413,664.9973145,0.01367705967,664.9973145,0.0132180322
663.9783936,0.01315140259,663.9783936,0.01406022906,663.9783936,0.01429250836,663.9783936,0.01356145553,663.9783936,0.01350951381,663.9783936,0.01447199844
662.9591064,0.01355595421,662.9591064,0.01397178974,662.9591064,0.0133886151,662.9591064,0.01265319157,662.9591064,0.01323041413,662.9591064,0.01323924772
661.9395142,0.01348879188,661.9395142,0.01339988131,661.9395142,0.01303193718,661.9395142,0.01295133494,661.9395142,0.01267320663,661.9395142,0.01353146508
661.0653076,0.01310215052,661.0653076,0.01307899412,661.0653076,0.01342802122,661.0653076,0.0124951778,661.0653076,0.01325221825,661.0653076,0.01350577548
660.045105,0.0129746981,660.045105,0.01274234895,660.045105,0.01347012725,660.045105,0.01292125229,660.045105,0.01262662094,660.045105,0.012982646
659.0246582,0.01259235106,659.0246582,0.01241632644,659.0246582,0.01293279976,659.0246582,0.01257598959,659.0246582,0.01293312013,659.0246582,0.01281376835
658.0038452,0.01295869518,658.0038452,0.01354810223,658.0038452,0.01307878084,658.0038452,0.012494619,658.0038452,0.01284842938,658.0038452,0.0133267371
656.9827271,0.01274402812,656.9827271,0.01246677898,656.9827271,0.01310508512,656.9827271,0.01278382912,656.9827271,0.01338701323,656.9827271,0.01342332177
655.9613037,0.0118296491,655.9613037,0.01263440307,655.9613037,0.01279283967,655.9613037,0.01296949666,655.9613037,0.01263424288,655.9613037,0.01301969402
654.9395752,0.01311098132,654.9395752,0.01327335555,654.9395752,0.01171815302,654.9395752,0.01259887964,654.9395752,0.01363041904,654.9395752,0.01245052926
654.0635376,0.01237919647,654.0635376,0.0122797545,654.0635376,0.01214466337,654.0635376,0.01291770581,654.0635376,0.01237429585,654.0635376,0.01250253152
653.0412598,0.01218198612,653.0412598,0.01261465531,653.0412598,0.0127212638,653.0412598,0.01272976678,653.0412598,0.01277580485,653.0412598,0.01240604464
652.0186768,0.01240207627,652.0186768,0.01323836762,652.0186768,0.01304271445,652.0186768,0.0126383733,652.0186768,0.0120448228,652.0186768,0.01281035598
650.9957275,0.01208264288,650.9957275,0.01286898647,650.9957275,0.01276714075,650.9957275,0.01231823489,650.9957275,0.01187074929,650.9957275,0.0125605613
649.9724731,0.01243555825,649.9724731,0.01235903427,649.9724731,0.01259893272,649.9724731,0.01244687941,649.9724731,0.01221670303,649.9724731,0.01264492981
648.9489746,0.01241001394,648.9489746,0.01284405589,648.9489746,0.01290815882,648.9489746,0.01240362134,648.9489746,0.01242546272,648.9489746,0.01294069365
648.0714111,0.0120448228,648.0714111,0.01268205605,648.0714111,0.01308945194,648.0714111,0.01245263405,648.0714111,0.01177344564,648.0714111,0.01306152064
647.0473022,0.01294336095,647.0473022,0.01274554804,647.0473022,0.01220458932,647.0473022,0.01179366,647.0473022,0.01202723198,647.0473022,0.01229631808
646.0228882,0.01214940194,646.0228882,0.01237663906,646.0228882,0.01284352317,646.0228882,0.01279974449,646.0228882,0.01263653487,646.0228882,0.01285637449
644.9981689,0.01250817999,644.9981689,0.01249616407,644.9981689,0.01286440063,644.9981689,0.01223603357,644.9981689,0.01204484981,644.9981689,0.01241579372
643.9731445,0.01230633073,643.9731445,0.01271673292,643.9731445,0.01343157236,643.9731445,0.01236055233,643.9731445,0.01207330078,643.9731445,0.01241209079
642.947876,0.01184672769,642.947876,0.01231445279,642.947876,0.01289117243,642.947876,0.01238300558,642.947876,0.01237594709,642.947876,0.01261961181
642.0687866,0.01219348796,642.0687866,0.01190081239,642.0687866,0.01312949695,642.0687866,0.01238079462,642.0687866,0.01248889044,642.0687866,0.01328355074
641.0429077,0.01330146007,641.0429077,0.01221489254,641.0429077,0.01237874385,641.0429077,0.01257415116,641.0429077,0.01225102413,641.0429077,0.01249645744
640.0167236,0.01238987688,640.0167236,0.0124740256,640.0167236,0.01254223008,640.0167236,0.01191741414,640.0167236,0.01188088581,640.0167236,0.01265713573
638.9902344,0.01308406238,638.9902344,0.01235509291,638.9902344,0.01255461946,638.9902344,0.01252523065,638.9902344,0.01186745055,638.9902344,0.0125841964
637.9634399,0.0127551714,637.9634399,0.01207811851,637.9634399,0.01299510151,637.9634399,0.01208117977,637.9634399,0.01279219985,637.9634399,0.01254995633
636.9363403,0.01241704542,636.9363403,0.01332964748,636.9363403,0.01260181051,636.9363403,0.01179908589,636.9363403,0.01265140623,636.9363403,0.01243955456
