Delay_piperidine,Delay_piperidinium tosylate,Delay_morpholine,Delay_morpholinium tosylate,Delay_p-methoxy,Delay_p-methoxy tosylate,Delay_acetophenone cyclohexane,Delay_acetophenone
28.0559,27.7609,28.0609,28.0589,27.9319,27.8879,27.9579,27.7589
29.0569,28.7589,29.0599,29.0569,28.9309,28.8859,28.9549,28.7559
30.0559,29.7599,30.0619,30.0619,29.9319,29.8879,29.9559,29.7579
31.0589,30.7599,31.0609,31.0619,30.9309,30.8869,30.9559,30.7589
32.0579,31.7599,32.0619,32.0609,31.9339,31.8879,31.9539,31.7579
33.0559,32.7609,33.0599,33.0619,32.9299,32.8859,32.9539,32.7589
34.0579,33.7609,34.0619,34.0609,33.9319,33.8879,33.9559,33.7579
35.0569,34.7599,35.0599,35.0579,34.9299,34.8859,34.9569,34.7599
36.0579,35.7599,36.0619,36.0649,35.9309,35.8869,35.9539,35.7589
37.0569,36.7589,37.0599,37.0609,36.9299,36.8859,36.9559,36.7559
38.0579,37.7599,38.0609,38.0629,37.9309,37.8879,37.9559,37.7579
39.0569,38.7589,39.0599,39.0599,38.9299,38.8859,38.9539,38.7579
40.0579,39.7599,40.0609,40.0609,39.9269,39.8839,39.9529,39.7569
41.0589,40.7579,41.0599,41.0589,40.9289,40.8859,40.9519,40.7549
42.0569,41.7599,42.0599,42.0569,41.9299,41.8869,41.9519,41.7559
43.0579,42.7579,43.0579,43.0589,42.9279,42.8859,42.9509,42.7549
44.0539,43.7599,44.0589,44.0589,43.9299,43.8869,43.9519,43.7559
45.0559,44.7579,45.0579,45.0559,44.9279,44.8859,44.9499,44.7549
46.0539,45.7589,46.0579,46.0599,45.9299,45.8869,45.9479,45.7559
47.0529,46.7579,47.0579,47.0609,46.9279,46.8849,46.9519,46.7549
48.0539,47.7589,48.0559,48.0569,47.9289,47.8859,47.9479,47.7559
49.0539,48.7579,49.0579,49.0599,48.9279,48.8839,48.9489,48.7539
50.0539,49.7589,50.0569,50.0579,49.9259,49.8819,49.9459,49.7549
55.0539,54.7579,55.0579,55.0599,54.9279,54.8839,54.9479,54.7539
60.0539,59.7569,60.0559,60.0589,59.9279,59.8839,59.9469,59.7559
65.0519,64.7559,65.0559,65.0579,64.9239,64.8829,64.9459,64.7509
70.0539,69.7559,70.0559,70.0579,69.9239,69.8819,69.9469,69.7539
75.0519,74.7559,75.0539,75.0569,74.9239,74.8859,74.9459,74.7529
80.0509,79.7569,80.0529,80.0579,79.9239,79.8829,79.9469,79.7519
85.0519,84.7539,85.0549,85.0549,84.9229,84.8819,84.9459,84.7519
90.0499,89.7539,90.0549,90.0559,89.9239,89.8819,89.9459,89.7529
95.0489,94.7529,95.0529,95.0549,94.9229,94.8819,94.9459,94.7519
100.05,99.7529,100.054,100.056,99.9219,99.8809,99.9449,99.7509
105.048,104.752,105.052,105.054,104.92,104.881,104.944,104.75
110.046,109.753,110.053,110.055,109.921,109.879,109.946,109.751
115.048,114.752,115.052,115.054,114.921,114.88,114.944,114.75
120.046,119.751,120.051,120.056,119.92,119.879,119.945,119.749
125.046,124.75,125.051,125.055,124.92,124.88,124.944,124.75
130.048,129.751,130.052,130.056,129.92,129.879,129.944,129.75
135.047,134.75,135.05,135.056,134.92,134.88,134.944,134.748
140.048,139.75,140.052,140.056,139.922,139.878,139.943,139.751
