Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7_6_2,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.9437256,-0.003940499388,780.9437256,-0.00418587029,780.9437256,-0.003320660442,780.9437256,-0.003202835564,780.9437256,-0.004416701384,780.9437256,-0.002953052288,780.9437256,-0.004364630207,780.9437256,-0.003554417053,780.9437256,-0.003988210112,780.9437256,-0.004222171381,780.9437256,-0.004498485941,780.9437256,-0.001940471237,780.9437256,-0.003054751316,780.9437256,-0.00347358454,780.9437256,-0.003664086573,780.9437256,-0.004148693755,780.9437256,-0.002254603896,780.9437256,-0.002540098969,780.9437256,0.0007678349502,780.9437256,-0.003494025208,780.9437256,-0.003291374305,
779.9643555,-0.003801750485,779.9643555,-0.004261699505,779.9643555,-0.005039636511,779.9643555,-0.002363211941,779.9643555,-0.003281097859,779.9643555,-0.003590103704,779.9643555,-0.003455454251,779.9643555,-0.002836722182,779.9643555,-0.004007395357,779.9643555,-0.003594930051,779.9643555,-0.004490338732,779.9643555,-0.002569847507,779.9643555,-0.003868667642,779.9643555,-0.004838627297,779.9643555,-0.003369260812,779.9643555,-0.004936404992,779.9643555,-0.001550026354,779.9643555,-0.002639321843,779.9643555,-0.0002023811103,779.9643555,-0.003605455859,779.9643555,-0.004847484175,
778.9845581,-0.00432736706,778.9845581,-0.00333021651,778.9845581,-0.003866153304,778.9845581,-0.004466922022,778.9845581,-0.003918643575,778.9845581,-0.003936651628,778.9845581,-0.0033718294,778.9845581,-0.002810078207,778.9845581,-0.00360098877,778.9845581,-0.003765516682,778.9845581,-0.004547876772,778.9845581,-0.002770932158,778.9845581,-0.002779985778,778.9845581,-0.003628611332,778.9845581,-0.003525968175,778.9845581,-0.00403442746,778.9845581,-0.003418318229,778.9845581,-0.002768051345,778.9845581,7.334114343E-5,778.9845581,-0.003923927899,778.9845581,-0.003876928939,
778.0044556,-0.002219888847,778.0044556,-0.003802520456,778.0044556,-0.00387816038,778.0044556,-0.004084691871,778.0044556,-0.004775597248,778.0044556,-0.003777783131,778.0044556,-0.002973568859,778.0044556,-0.004380160011,778.0044556,-0.003597548697,778.0044556,-0.00301850657,778.0044556,-0.003924030811,778.0044556,-0.001266563777,778.0044556,-0.004641673528,778.0044556,-0.004105668049,778.0044556,-0.002378813457,778.0044556,-0.004082743078,778.0044556,-0.005070391111,778.0044556,-0.002951149829,778.0044556,-1.330518353E-5,778.0044556,-0.003959481604,778.0044556,-0.003783941967,
777.0239868,-0.003284026636,777.0239868,-0.003093460575,777.0239868,-0.004776263144,777.0239868,-0.003824125743,777.0239868,-0.003159767482,777.0239868,-0.003408353077,777.0239868,-0.002707961714,777.0239868,-0.004947819281,777.0239868,-0.00383567228,777.0239868,-0.004473788198,777.0239868,-0.004554895684,777.0239868,-0.002370883944,777.0239868,-0.003285568208,777.0239868,-0.003444051836,777.0239868,-0.004068228416,777.0239868,-0.003898838535,777.0239868,-0.002416707808,777.0239868,-0.003408866702,777.0239868,-0.0007621902623,777.0239868,-0.003993801307,777.0239868,-0.0046411613,
776.0430908,-0.003446055111,776.0430908,-0.00374190649,776.0430908,-0.004479732364,776.0430908,-0.003109806916,776.0430908,-0.003653562395,776.0430908,-0.003591644112,776.0430908,-0.001554720802,776.0430908,-0.004169359338,776.0430908,-0.002860535868,776.0430908,-0.003947835881,776.0430908,-0.003310384694,776.0430908,-0.003444822272,776.0430908,-0.00287771388,776.0430908,-0.003326157806,776.0430908,-0.00434766477,776.0430908,-0.004865351599,776.0430908,-0.002980150515,776.0430908,-0.00322010275,776.0430908,-0.0006225253455,776.0430908,-0.004440736491,776.0430908,-0.004550284706,
775.0618896,-0.002104495652,775.0618896,-0.004240320995,775.0618896,-0.004423312377,775.0618896,-0.004365553148,775.0618896,-0.00383741688,775.0618896,-0.003397411667,775.0618896,-0.004348843824,775.0618896,-0.003974307794,775.0618896,-0.004722493701,775.0618896,-0.003753711702,775.0618896,-0.005359462462,775.0618896,-0.002537267981,775.0618896,-0.002391736954,775.0618896,-0.005477470346,775.0618896,-0.003245334374,775.0618896,-0.004240987822,775.0618896,-0.00340722315,775.0618896,-0.001857894473,775.0618896,-0.0009823995642,775.0618896,-0.004490389954,775.0618896,-0.00393829355,
773.9400635,-0.003352205036,773.9400635,-0.004058226943,773.9400635,-0.004375495948,773.9400635,-0.003839726094,773.9400635,-0.005199016072,773.9400635,-0.003760846099,773.9400635,-0.003830027301,773.9400635,-0.004324496258,773.9400635,-0.003554519732,773.9400635,-0.004594188649,773.9400635,-0.004011139739,773.9400635,-0.002341945656,773.9400635,-0.00399646908,773.9400635,-0.004486649763,773.9400635,-0.004041146953,773.9400635,-0.00374026387,773.9400635,-0.00418176828,773.9400635,-0.002973774681,773.9400635,-0.001292218687,773.9400635,-0.004066330846,773.9400635,-0.005230680574,
772.9580078,-0.00393254729,772.9580078,-0.004998131655,772.9580078,-0.004368679598,772.9580078,-0.003839726094,772.9580078,-0.003938806709,772.9580078,-0.004613808356,772.9580078,-0.004152745008,772.9580078,-0.004905845504,772.9580078,-0.004105309024,772.9580078,-0.004765970632,772.9580078,-0.003806472057,772.9580078,-0.003557857359,772.9580078,-0.004084538203,772.9580078,-0.004775904585,772.9580078,-0.004297892097,772.9580078,-0.004591064062,772.9580078,-0.003384518204,772.9580078,-0.002343078377,772.9580078,-0.000386874628,772.9580078,-0.003890782828,772.9580078,-0.003727431875,
771.975647,-0.004444733262,771.975647,-0.005174920894,771.975647,-0.004157770425,771.975647,-0.004381697625,771.975647,-0.004624565132,771.975647,-0.004568933044,771.975647,-0.004280103836,771.975647,-0.004434689414,771.975647,-0.004566012882,771.975647,-0.004752656445,771.975647,-0.005584202241,771.975647,-0.002774636028,771.975647,-0.003217995865,771.975647,-0.004154488444,771.975647,-0.004491261207,771.975647,-0.004806678277,771.975647,-0.004095410928,771.975647,-0.003009971697,771.975647,-0.000367063185,771.975647,-0.005047108047,771.975647,-0.004128950648,
